"year","state","state_po","candidate","party","candidatevotes","totalvotes","percent_total_votes"
"2000","NORTH DAKOTA","ND","GEORGE W. BUSH","REPUBLICAN",33536,58995,56.8454953809645
"2000","NEBRASKA","NE","GEORGE W. BUSH","REPUBLICAN",101025,183156,55.1578981851536
"2000","NEW HAMPSHIRE","NH","GEORGE W. BUSH","REPUBLICAN",80649,165761,48.6537846658744
"2000","NEW JERSEY","NJ","AL GORE","DEMOCRAT",202682,366721,55.2687192715988
"2000","NEW MEXICO","NM","AL GORE","DEMOCRAT",99461,204319,48.6792711397374
"2000","NEVADA","NV","AL GORE","DEMOCRAT",196100,382198,51.3084840841658
"2000","NEW YORK","NY","AL GORE","DEMOCRAT",497468,617105,80.6131857625526
"2000","OHIO","OH","AL GORE","DEMOCRAT",359913,574782,62.6173053435911
"2000","OKLAHOMA","OK","GEORGE W. BUSH","REPUBLICAN",139078,223111,62.3357880158307
"2000","OREGON","OR","AL GORE","DEMOCRAT",188441,296685,63.51551308627
"2000","PENNSYLVANIA","PA","AL GORE","DEMOCRAT",449182,561180,80.042410634734
"2000","RHODE ISLAND","RI","AL GORE","DEMOCRAT",142469,218308,65.2605493156458
"2000","SOUTH CAROLINA","SC","GEORGE W. BUSH","REPUBLICAN",92714,140293,66.0859772048499
"2000","SOUTH DAKOTA","SD","GEORGE W. BUSH","REPUBLICAN",33428,61369,54.4704981342372
"2000","TENNESSEE","TN","AL GORE","DEMOCRAT",190404,336755,56.5408085997238
"2000","TEXAS","TX","GEORGE W. BUSH","REPUBLICAN",529159,974822,54.282628007985
"2000","UTAH","UT","GEORGE W. BUSH","REPUBLICAN",171585,307258,55.8439487336375
"2000","VIRGINIA","VA","GEORGE W. BUSH","REPUBLICAN",202181,413775,48.8625460697239
"2000","VERMONT","VT","AL GORE","DEMOCRAT",39156,72017,54.3704958551453
"2000","WASHINGTON","WA","AL GORE","DEMOCRAT",476700,794078,60.0318860363843
"2000","WISCONSIN","WI","AL GORE","DEMOCRAT",252329,433537,58.202414096144
"2000","WEST VIRGINIA","WV","AL GORE","DEMOCRAT",38524,76670,50.2465110212599
"2000","WYOMING","WY","GEORGE W. BUSH","REPUBLICAN",21797,35323,61.7076692240183
"2004","ALASKA","AK","GEORGE W. BUSH","REPUBLICAN",10717,15548,68.9284795472086
"2004","ALABAMA","AL","GEORGE W. BUSH","REPUBLICAN",158680,292967,54.1630968675653
"2004","ARKANSAS","AR","JOHN KERRY","DEMOCRAT",82755,151758,54.5308978768829
"2004","ARIZONA","AZ","GEORGE W. BUSH","REPUBLICAN",679455,1192751,56.965368295646
