"year","state","state_po","county_name","county_fips","candidate","party","candidatevotes","totalvotes","percent_total_votes"
"2000","ILLINOIS","IL","BROWN","17009","GEORGE W. BUSH","REPUBLICAN",1529,2660,57.4812030075188
"2000","ILLINOIS","IL","BUREAU","17011","GEORGE W. BUSH","REPUBLICAN",8526,16823,50.6806158235749
"2000","ILLINOIS","IL","CALHOUN","17013","AL GORE","DEMOCRAT",1310,2602,50.3458877786318
"2000","ILLINOIS","IL","CARROLL","17015","GEORGE W. BUSH","REPUBLICAN",3835,7177,53.4345826947192
"2000","ILLINOIS","IL","CASS","17017","GEORGE W. BUSH","REPUBLICAN",2968,5899,50.313612476691
"2000","ILLINOIS","IL","CHAMPAIGN","17019","AL GORE","DEMOCRAT",35515,74285,47.8091135491687
"2000","ILLINOIS","IL","CHRISTIAN","17021","GEORGE W. BUSH","REPUBLICAN",7537,14771,51.0256583846727
"2000","ILLINOIS","IL","CLARK","17023","GEORGE W. BUSH","REPUBLICAN",4398,7512,58.5463258785943
"2000","ILLINOIS","IL","CLAY","17025","GEORGE W. BUSH","REPUBLICAN",3789,6135,61.760391198044
"2000","ILLINOIS","IL","CLINTON","17027","GEORGE W. BUSH","REPUBLICAN",8588,15427,55.6686329163156
"2000","ILLINOIS","IL","COLES","17029","GEORGE W. BUSH","REPUBLICAN",10495,20093,52.2321206390285
"2000","ILLINOIS","IL","COOK","17031","AL GORE","DEMOCRAT",1280547,1865907,68.6286615570872
"2000","ILLINOIS","IL","CRAWFORD","17033","GEORGE W. BUSH","REPUBLICAN",4974,8500,58.5176470588235
"2000","ILLINOIS","IL","CUMBERLAND","17035","GEORGE W. BUSH","REPUBLICAN",2964,4975,59.5778894472362
"2000","ILLINOIS","IL","DEKALB","17037","GEORGE W. BUSH","REPUBLICAN",17139,33233,51.5722324195829
"2000","ILLINOIS","IL","DE WITT","17039","GEORGE W. BUSH","REPUBLICAN",3968,7051,56.2757055736775
"2000","ILLINOIS","IL","DOUGLAS","17041","GEORGE W. BUSH","REPUBLICAN",4734,8152,58.071638861629
"2000","ILLINOIS","IL","DUPAGE","17043","GEORGE W. BUSH","REPUBLICAN",201037,364362,55.175073141546
"2000","ILLINOIS","IL","EDGAR","17045","GEORGE W. BUSH","REPUBLICAN",4833,8232,58.7099125364432
"2000","ILLINOIS","IL","EDWARDS","17047","GEORGE W. BUSH","REPUBLICAN",2212,3260,67.8527607361963
"2000","ILLINOIS","IL","EFFINGHAM","17049","GEORGE W. BUSH","REPUBLICAN",9855,14485,68.0358992060752
"2000","ILLINOIS","IL","FAYETTE","17051","GEORGE W. BUSH","REPUBLICAN",5200,9338,55.6864424930392
"2000","ILLINOIS","IL","FORD","17053","GEORGE W. BUSH","REPUBLICAN",3889,6153,63.2049406793434
"2000","ILLINOIS","IL","FRANKLIN","17055","AL GORE","DEMOCRAT",10201,19212,53.0970226941495
"2000","ILLINOIS","IL","FULTON","17057","AL GORE","DEMOCRAT",8940,16277,54.9241260674571
"2000","ILLINOIS","IL","GALLATIN","17059","AL GORE","DEMOCRAT",1878,3558,52.7824620573356
"2000","ILLINOIS","IL","GREENE","17061","GEORGE W. BUSH","REPUBLICAN",3129,5767,54.2569793653546
"2000","ILLINOIS","IL","GRUNDY","17063","GEORGE W. BUSH","REPUBLICAN",8709,16584,52.514471780029
"2000","ILLINOIS","IL","HAMILTON","17065","GEORGE W. BUSH","REPUBLICAN",2519,4587,54.916067146283
"2000","ILLINOIS","IL","HANCOCK","17067","GEORGE W. BUSH","REPUBLICAN",5134,9691,52.9769889588278
"2000","ILLINOIS","IL","HARDIN","17069","GEORGE W. BUSH","REPUBLICAN",1366,2637,51.8012893439515
"2000","ILLINOIS","IL","HENDERSON","17071","AL GORE","DEMOCRAT",2030,3866,52.5090532850491
"2000","ILLINOIS","IL","HENRY","17073","AL GORE","DEMOCRAT",11921,23470,50.7925010651896
"2000","ILLINOIS","IL","IROQUOIS","17075","GEORGE W. BUSH","REPUBLICAN",8685,13424,64.6975566150179
"2000","ILLINOIS","IL","JACKSON","17077","AL GORE","DEMOCRAT",11773,23090,50.9874404504114
"2000","ILLINOIS","IL","JASPER","17079","GEORGE W. BUSH","REPUBLICAN",3119,5021,62.1190997809201
"2000","ILLINOIS","IL","JEFFERSON","17081","GEORGE W. BUSH","REPUBLICAN",8362,15360,54.4401041666667
"2000","ILLINOIS","IL","JERSEY","17083","GEORGE W. BUSH","REPUBLICAN",4699,9413,49.9203229576118
"2000","ILLINOIS","IL","JO DAVIESS","17085","GEORGE W. BUSH","REPUBLICAN",5304,10322,51.3853904282116
"2000","ILLINOIS","IL","JOHNSON","17087","GEORGE W. BUSH","REPUBLICAN",3285,5362,61.2644535621037
"2000","ILLINOIS","IL","KANE","17089","GEORGE W. BUSH","REPUBLICAN",76996,141405,54.450691276829
"2000","ILLINOIS","IL","KANKAKEE","17091","GEORGE W. BUSH","REPUBLICAN",20049,40183,49.894233879999
"2000","ILLINOIS","IL","KENDALL","17093","GEORGE W. BUSH","REPUBLICAN",13688,22769,60.1168255083666
"2000","ILLINOIS","IL","KNOX","17095","AL GORE","DEMOCRAT",12572,23174,54.2504530939846
"2000","ILLINOIS","IL","LAKE","17097","GEORGE W. BUSH","REPUBLICAN",120988,242164,49.9611833303051
"2000","ILLINOIS","IL","LASALLE","17099","AL GORE","DEMOCRAT",23355,46007,50.7640141717565
"2000","ILLINOIS","IL","LAWRENCE","17101","GEORGE W. BUSH","REPUBLICAN",3594,6578,54.636667680146
"2000","ILLINOIS","IL","LEE","17103","GEORGE W. BUSH","REPUBLICAN",8069,14620,55.1915184678523
"2000","ILLINOIS","IL","LIVINGSTON","17105","GEORGE W. BUSH","REPUBLICAN",9187,15421,59.574606056676
"2000","ILLINOIS","IL","LOGAN","17107","GEORGE W. BUSH","REPUBLICAN",8141,13065,62.3115193264447
"2000","ILLINOIS","IL","MCDONOUGH","17109","GEORGE W. BUSH","REPUBLICAN",6465,13012,49.6849062403935
"2000","ILLINOIS","IL","MCHENRY","17111","GEORGE W. BUSH","REPUBLICAN",62112,106185,58.4941375900551
"2000","ILLINOIS","IL","MCLEAN","17113","GEORGE W. BUSH","REPUBLICAN",34008,60898,55.8441984958455
"2000","ILLINOIS","IL","MACON","17115","AL GORE","DEMOCRAT",24262,49499,49.0151316188206
"2000","ILLINOIS","IL","MACOUPIN","17117","AL GORE","DEMOCRAT",11015,21389,51.49843377437
"2000","ILLINOIS","IL","MADISON","17119","AL GORE","DEMOCRAT",59077,111104,53.1727030529954
"2000","ILLINOIS","IL","MARION","17121","GEORGE W. BUSH","REPUBLICAN",8240,16663,49.4508791934226
"2000","ILLINOIS","IL","MARSHALL","17123","GEORGE W. BUSH","REPUBLICAN",3145,5907,53.241916370408
"2000","ILLINOIS","IL","MASON","17125","GEORGE W. BUSH","REPUBLICAN",3411,6772,50.3691671588896
"2000","ILLINOIS","IL","MASSAC","17127","GEORGE W. BUSH","REPUBLICAN",3676,6744,54.5077105575326
"2000","ILLINOIS","IL","MENARD","17129","GEORGE W. BUSH","REPUBLICAN",3862,6202,62.2702354079329
"2000","ILLINOIS","IL","MERCER","17131","AL GORE","DEMOCRAT",4400,8318,52.8973310892041
"2000","ILLINOIS","IL","MONROE","17133","GEORGE W. BUSH","REPUBLICAN",7632,13796,55.3203827196289
"2000","ILLINOIS","IL","MONTGOMERY","17135","AL GORE","DEMOCRAT",6542,13093,49.9656304895746
"2000","ILLINOIS","IL","MORGAN","17137","GEORGE W. BUSH","REPUBLICAN",8058,14334,56.2159899539556
"2000","ILLINOIS","IL","MOULTRIE","17139","GEORGE W. BUSH","REPUBLICAN",3058,5725,53.4148471615721
"2000","ILLINOIS","IL","OGLE","17141","GEORGE W. BUSH","REPUBLICAN",12325,20601,59.8271928547158
"2000","ILLINOIS","IL","PEORIA","17143","AL GORE","DEMOCRAT",38604,76812,50.2577722230902
"2000","ILLINOIS","IL","PERRY","17145","AL GORE","DEMOCRAT",4862,9942,48.9036411184872
"2000","ILLINOIS","IL","PIATT","17147","GEORGE W. BUSH","REPUBLICAN",4619,8385,55.0864639236732
"2000","ILLINOIS","IL","PIKE","17149","GEORGE W. BUSH","REPUBLICAN",4706,8112,58.0128205128205
"2000","ILLINOIS","IL","POPE","17151","GEORGE W. BUSH","REPUBLICAN",1346,2330,57.7682403433476
"2000","ILLINOIS","IL","PULASKI","17153","AL GORE","DEMOCRAT",1518,3016,50.3315649867374
"2000","ILLINOIS","IL","PUTNAM","17155","AL GORE","DEMOCRAT",1657,3179,52.1233092167348
"2000","ILLINOIS","IL","RANDOLPH","17157","GEORGE W. BUSH","REPUBLICAN",7127,14287,49.8845103940645
"2000","ILLINOIS","IL","RICHLAND","17159","GEORGE W. BUSH","REPUBLICAN",4718,7428,63.5164243403339
"2000","ILLINOIS","IL","ROCK ISLAND","17161","AL GORE","DEMOCRAT",37957,65095,58.3101620708196
"2000","ILLINOIS","IL","ST. CLAIR","17163","AL GORE","DEMOCRAT",55961,100393,55.7419341985995
"2000","ILLINOIS","IL","SALINE","17165","GEORGE W. BUSH","REPUBLICAN",5933,11650,50.9270386266094
"2000","ILLINOIS","IL","SANGAMON","17167","GEORGE W. BUSH","REPUBLICAN",50374,91485,55.062578564792
"2000","ILLINOIS","IL","SCHUYLER","17169","GEORGE W. BUSH","REPUBLICAN",2077,3772,55.0636267232238
"2000","ILLINOIS","IL","SCOTT","17171","GEORGE W. BUSH","REPUBLICAN",1458,2469,59.052247873633
"2000","ILLINOIS","IL","SHELBY","17173","GEORGE W. BUSH","REPUBLICAN",5851,10163,57.5715831939388
"2000","ILLINOIS","IL","STARK","17175","GEORGE W. BUSH","REPUBLICAN",1694,2989,56.6744730679157
"2000","ILLINOIS","IL","STEPHENSON","17177","GEORGE W. BUSH","REPUBLICAN",10715,19378,55.2946640520178
"2000","ILLINOIS","IL","TAZEWELL","17179","GEORGE W. BUSH","REPUBLICAN",31537,58348,54.0498388976486
"2000","ILLINOIS","IL","UNION","17181","GEORGE W. BUSH","REPUBLICAN",4397,8660,50.7736720554273
"2000","ILLINOIS","IL","VERMILION","17183","GEORGE W. BUSH","REPUBLICAN",15783,32100,49.1682242990654
"2000","ILLINOIS","IL","WABASH","17185","GEORGE W. BUSH","REPUBLICAN",3406,5508,61.837327523602
"2000","ILLINOIS","IL","WARREN","17187","GEORGE W. BUSH","REPUBLICAN",3899,7631,51.094220940899
"2000","ILLINOIS","IL","WASHINGTON","17189","GEORGE W. BUSH","REPUBLICAN",4353,7138,60.983468758756
"2000","ILLINOIS","IL","WAYNE","17191","GEORGE W. BUSH","REPUBLICAN",5347,7693,69.5047445729884
"2000","ILLINOIS","IL","WHITE","17193","GEORGE W. BUSH","REPUBLICAN",4521,7637,59.1986382087207
"2000","ILLINOIS","IL","WHITESIDE","17195","AL GORE","DEMOCRAT",12886,24837,51.8822724161533
"2000","ILLINOIS","IL","WILL","17197","GEORGE W. BUSH","REPUBLICAN",95828,191670,49.9963478896019
"2000","ILLINOIS","IL","WILLIAMSON","17199","GEORGE W. BUSH","REPUBLICAN",14012,26939,52.0138089758343
"2000","ILLINOIS","IL","WINNEBAGO","17201","GEORGE W. BUSH","REPUBLICAN",53816,109297,49.2383139518926
"2000","ILLINOIS","IL","WOODFORD","17203","GEORGE W. BUSH","REPUBLICAN",10905,16793,64.9377716905854
"2000","INDIANA","IN","ADAMS","18001","GEORGE W. BUSH","REPUBLICAN",8555,12590,67.9507545671168
